free;free;free;free;free;free;free;free;free;free;free;free;free;free;free
free;free;free;free;free;free;free;free;free;free;free;free;free;free;free
free;free;free;free;loose;free;free;free;free;free;free;free;free;free;free
free;free;free;free;free;free;free;free;free;free;free;free;free;free;free
free;free;free;free;free;free;free;free;free;free;free;free;free;free;free
free;free;free;solid;loose;loose;free;loose;free;loose;free;solid;free;free;free
loose;free;solid;player;free;loose;free;free;free;free;free;free;free;free;free
free;free;free;solid;loose;loose;free;loose;free;loose;free;solid;free;free;free
free;free;free;free;free;free;free;free;free;free;free;free;free;free;free
player;free;free;free;free;free;free;free;free;free;free;free;free;free;free
